"id","ticker","market_cap","total_debt","cash","preferred_stock","minority_interest","enterprise_value","ebit","acquirers_multiple","fetched_at","close_price","sector","industry"
231,"A",35583598592.0,3542000128.0,1807000064.0,0.0,0,37318598656.0,1479000000.0,25.232318225828262,"2026-06-22 11:03:29.363993",125.99,"Healthcare","Diagnostics & Research"
232,"AA",15234362368.0,2551000064.0,1352999936.0,0.0,0,16432362496.0,758000000.0,21.678578490765172,"2026-06-22 11:03:32.264219",57.73,"Basic Materials","Aluminum"
233,"AADX",0,1040992000.0,15923000.0,0,0,1025069000.0,56956000.0,17.99755951962919,"2026-06-22 11:03:34.254238",18.21,"Industrials","Aerospace & Defense"
234,"AAMI",2652043520.0,344500000.0,129000000.0,0,0,2867543520.0,132100000.0,21.707369568508707,"2026-06-22 11:03:37.191064",74.435,"Financial Services","Asset Management"
122,"AAPL",4376979046400.0,84710998016.0,68507000832.0,0,0,4393183043584.0,133050000000.0,33.019038283231865,"2026-06-21 13:05:31.480182",298.01,"Technology","Consumer Electronics"
169,"ABBV",382492999680.0,72912003072.0,9390999552.0,0,0,446014003200.0,20091000000.0,22.19969156338659,"2026-06-21 15:41:15.659234",216.49,"Healthcare","Drug Manufacturers - General"
236,"ABCB",5929478656.0,1028486016.0,1345163008.0,0.0,0,5612801664.0,NULL,NULL,"2026-06-22 11:03:42.620129",88.115,"Financial Services","Banks - Regional"
237,"ABG",3669207040.0,5429199872.0,41500000.0,0.0,0,9056906912.0,1001700000.0,9.041536300289508,"2026-06-22 11:03:45.254158",197.07,"Consumer Cyclical","Auto & Truck Dealerships"
238,"ABM",2563501056.0,1970400000.0,95900000.0,0.0,0,4438001056.0,325200000.0,13.64698971709717,"2026-06-22 11:03:49.241724",43.76,"Industrials","Specialty Business Services"
239,"ABT",152983453696.0,34136000512.0,7295000064.0,0.0,0,179824454144.0,8053000000.0,22.330119724823046,"2026-06-22 11:03:52.595579",87.83,"Healthcare","Medical Devices"
240,"ABX",919895552.0,341314880.0,37209748.0,0.0,0,1224000684.0,85395264.0,14.333355582810775,"2026-06-22 11:03:55.712866",9.59,"Financial Services","Insurance - Life"
241,"ACA",7152357888.0,1579699968.0,153200000.0,0,0,8578857856.0,341900000.0,25.091716455103832,"2026-06-22 11:03:59.033235",145.68,"Industrials","Engineering & Construction"
242,"ACCO",0,978700032.0,118900000.0,0,0,859800032.0,107100000.0,8.028011503267974,"2026-06-22 11:04:02.448246",3.88,"Industrials","Business Equipment & Supplies"
243,"ACCS",23370506.0,2982000.0,3487000.0,0.0,0,22865506.0,-1621000.0,NULL,"2026-06-22 11:04:05.738291",6.02,"Communication Services","Advertising Agencies"
244,"ACH",246216608.0,2170657024.0,338487008.0,0,0,2078386624.0,221739000.0,9.373121661051957,"2026-06-22 11:04:08.606899",3.215,"Healthcare","Medical Distribution"
245,"ACHR",4199571456.0,121800000.0,1775900032.0,0,0,2545471424.0,-729300000.0,NULL,"2026-06-22 11:04:11.31893",5.505,"Industrials","Aerospace & Defense"
246,"ACI",6797381632.0,15296900096.0,238300000.0,0.0,0,21855981728.0,715400000.0,30.55071530332681,"2026-06-22 11:04:14.550755",13.745,"Consumer Defensive","Grocery Stores"
247,"ACM",8810246144.0,3346927104.0,1043556992.0,0,0,11113616256.0,1058864000.0,10.495791958174044,"2026-06-22 11:04:17.257559",68.55,"Industrials","Engineering & Construction"
248,"ACR",124658008.0,1910766976.0,47985000.0,10000.0,0,1987449984.0,NULL,NULL,"2026-06-22 11:04:20.584046",17.11,"Real Estate","REIT - Mortgage"
249,"ACRE",252716448.0,1271634048.0,86163000.0,0,0,1438187496.0,NULL,NULL,"2026-06-22 11:04:23.864551",4.555,"Real Estate","REIT - Mortgage"
250,"ACVA",1114724608.0,246000000.0,340969984.0,0.0,0,1019754624.0,-63191000.0,NULL,"2026-06-22 11:04:26.783864",6.385,"Consumer Cyclical","Auto & Truck Dealerships"
251,"ADC",8901519360.0,3718807040.0,34882000.0,175000000.0,0,12760444400.0,346881000.0,36.78623043637443,"2026-06-22 11:04:29.650808",73.9019,"Real Estate","REIT - Retail"
252,"ADM",36216619008.0,10657000448.0,624000000.0,0,0,46249619456.0,1424000000.0,32.47866534831461,"2026-06-22 11:04:32.858466",75.145,"Consumer Defensive","Farm Products"
253,"ADT",5000625152.0,7767962112.0,154679008.0,0.0,0,12613908256.0,1308901000.0,9.637022399707847,"2026-06-22 11:04:35.206754",6.575,"Industrials","Security & Protection Services"
254,"AEE",30495260672.0,21304000512.0,13000000.0,0,0,51786261184.0,2026000000.0,25.56083967620928,"2026-06-22 11:04:38.934933",110.19,"Utilities","Utilities - Regulated Electric"
255,"AEM",82780995584.0,319219008.0,3122657024.0,0,0,79977557568.0,6327961000.0,12.63875639688677,"2026-06-22 11:04:42.441141",165.55,"Basic Materials","Gold"
256,"AEO",2964372224.0,1874689024.0,103286000.0,0.0,0,4735775248.0,327825000.0,14.446046665141463,"2026-06-22 11:04:46.360659",17.69,"Consumer Cyclical","Apparel Retail"
257,"AEON",17625832.0,2625000.0,6243000.0,0,0,14007832.0,-16302000.0,NULL,"2026-06-22 11:04:48.863957",0.67,"Healthcare","Biotechnology"
258,"AES",10438773760.0,31804000256.0,1651000064.0,0,0,40591773952.0,1970000000.0,20.604961396954316,"2026-06-22 11:04:52.667305",14.6374,"Utilities","Utilities - Diversified"
259,"AESI",2023470592.0,692556992.0,39780000.0,0,0,2676247584.0,-16487000.0,NULL,"2026-06-22 11:04:56.171926",16.2,"Energy","Oil & Gas Equipment & Services"
260,"AFG",11254841344.0,2036000000.0,1434000000.0,0,0,11856841344.0,1153000000.0,10.283470376409367,"2026-06-22 11:04:59.493829",135.46,"Financial Services","Insurance - Property & Casualty"
261,"AFL",59892252672.0,14464000000.0,8270000128.0,0,0,66086252544.0,4753000000.0,13.904113726909321,"2026-06-22 11:05:02.581958",117.67,"Financial Services","Insurance - Life"
